Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

Aged Bourbon,,item,Food,newKey,Aged Bourbon,,Gereifter Bourbon
Smoked Pork Ribs,,item,Food,newKey,Smoked Pork Ribs,,Geräucherte Schweinerippen
farmLifeSmokedPorkRibsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Meat Hanger on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Fleischerhaken im Kalträucherschrank. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Smoked Salmon,,item,Food,newKey,Smoked Salmon,,Geräucherte Forelle
farmLifeSmokedSalmonDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst das Damastmesser und das Hackbrett. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Smoked Salmon Salad,,item,Food,newKey,Smoked Salmon Salad,,Geräucherter Lachssalat
farmLifeSmokedSalmonSaladDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\n",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\n"
Smoked Salmon Step 1,,item,Food,newKey,Smoked Salmon Step 1,,Geräucherter Lachssalat (Schritt 1)
farmLifeSmokedSalmonStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm das Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Smoked Salmon Step 2,,item,Food,newKey,Smoked Salmon Step 2,,Geräucherter Lachssalat (Schritt 2)
farmLifeSmokedSalmonStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Smoker Mat on a Cold Smoker. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst die Räuchermatte und den Kalträucherschrank. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Smoked Turkey,,item,Food,newKey,Smoked Turkey,,Geräucherter Truthahn
farmLifeSmokedTurkeyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nTry the Turkey Rack on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nVersuche Truthahngestell in den Kalträucherschrank."
Smoker Mat,,item,Food,newKey,Smoker Mat,,Räuchermatte
farmLifeSmokerMatDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Anvil on a Forge. The Smoker Mat is a tool used in the Cold Smoker for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Amboss und die Schmiede. Die Räuchermatte ist ein Zubehör für den Kalträucherschrank."
Sorghum,,item,Food,newKey,Sorghum,,Sorghum
farmLifeSorghumDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin weit verbreitetes Getreide, das in warmen Regionen der Alten Welt beheimatet ist. Es ist eine wichtige Quelle für Getreide und Viehfutter.\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Soy Bean,,item,Food,newKey,Soy Bean,,Sojabohnen
farmLifeSoyBeanDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spaghetti,,item,Food,newKey,Spaghetti,,Spaghetti
farmLifeSpaghettiDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Pasta Helper on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nMit dem Nudelaufsatz für die Küchenmaschine arbeiten.. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Spaghetti and Meatballs,,item,Food,newKey,Spaghetti and Meatballs,,Spaghetti mit Fleischbällchen
farmLifeSpaghettiandMeatballsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kochtopf auf dem Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spanish Rice,,item,Food,newKey,Spanish Rice,,Spanischer Reis
farmLifeSpanishRiceDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kochtopf auf dem Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spanish Rice Step 1,,item,Food,newKey,Spanish Rice Step 1,,Spanischer Reis (Stufe 1)
farmLifeSpanishRiceStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Gusseiserne Pfanne auf dem Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Spanish Rice Step 2,,item,Food,newKey,Spanish Rice Step 2,,Spanischer Reis (Stufe 2)
farmLifeSpanishRiceStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot with a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm den Kochtopf auf dem Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Spatula,,item,Food,newKey,Spatula,,Pfannenwender
farmLifeSpatulaDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the crucible with a Forge. The Spatula is a tool used in the Wood Grill for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nSchmelztiegel und Schmiede. Der Pfannenwender ist ein Zubehör für den Holzgrill."
Spicy BBQ Sauce,,item,Food,newKey,Spicy BBQ Sauce,,Würzige Grillsauce
farmLifeSpicyBBQSauceDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kochtopf auf dem Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spicy Chicken Wings,,item,Food,newKey,Spicy Chicken Wings,,Würzige Hühnerflügel
farmLifeSpicyChickenWingsDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nGrillzange und Holzgrill. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spicy Elk Jerky,,item,Food,newKey,Spicy Elk Jerky,,Würziges Elchtrockenfleisch
farmLifeSpicyElkJerkyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nRäuchermatte und Kalträucherschrank. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spicy Mayo,,item,Food,newKey,Spicy Mayo,,Würzige Mayo
farmLifeSpicyMayoDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst die Rührschüssel der Küchenmaschine. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spicy Salmon Roll,,item,Food,newKey,Spicy Salmon Roll,,Würzige Lachsröllchen
farmLifeSpicySalmonRollDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Rolling Mat on a (null). Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Rollmatte mit dem ???. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spicy Salsa,,item,Food,newKey,Spicy Salsa,,Würzige Salsa
farmLifeSpicySalsaDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm den Gemüseaufsatz für die Küchenmaschine. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spinach,,item,Food,newKey,Spinach,,Spinat
farmLifeSpinachDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Spirits Vat,,item,Food,newKey,Spirits Vat,,Spirituosenkessel
farmLifeSpiritsVatDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Workbench. The Spirits Vat is a tool used in the Brew Station for crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nHerstellen an der Werkbank. Der Spirituosenkessel ist ein Zubehör für die Braustation."
Spouted Barley,,item,Food,newKey,Spouted Barley,,Gekeimte Gerste
farmLifeSpoutedBarleyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Mälzerschrank in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Spouted Rye,,item,Food,newKey,Spouted Rye,,Gekeimter Roggen
farmLifeSpoutedRyeDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Mälzerschrank in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Spouted Sorghum,,item,Food,newKey,Spouted Sorghum,,Gekeimtes Sorghum
farmLifeSpoutedSorghumDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Malting Trays on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Mälzerschrank in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Squash,,item,Food,newKey,Squash,,Kürbis
farmLifeSquashDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Sriracha,,item,Food,newKey,Sriracha,,Sriracha
farmLifeSrirachaDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kochtopf auf dem Gasofen.\nEine scharfe Sauce aus roten Chilischoten und Knoblauch, die besonders zu vietnamesischer und thailändischer Küche serviert wird."
Sriracha Step 1,,item,Food,newKey,Sriracha Step 1,,Sriracha (Schritt 1)
farmLifeSrirachaStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm das Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Sriracha Step 2,,item,Food,newKey,Sriracha Step 2,,Sriracha (Schritt 2)
farmLifeSrirachaStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm die Raspelscheibe für die Küchenmaschine. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Sriracha Step 3,,item,Food,newKey,Sriracha Step 3,,Sriracha (Schritt 3)
farmLifeSrirachaStep3Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Clay Pot on a Fermentor Bench. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Lehmtopf in der Fermentierstation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Steak Burrito,,item,Food,newKey,Steak Burrito,,Steak Burrito
farmLifeSteakBurritoDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm die Gusseiserne Pfanne und den Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Steak Burrito Step 1,,item,Food,newKey,Steak Burrito Step 1,,Steak Burrito (Schritt 1)
farmLifeSteakBurritoStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cast Iron Skillet on a Gas Oven. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Gusseiserne Pfanne auf dem Gasofen. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Steak Burrito Step 2,,item,Food,newKey,Steak Burrito Step 2,,Steak Burrito (Schritt 2)
farmLifeSteakBurritoStep2Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nMan nehme das Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Steamed Broccoli,,item,Food,newKey,Steamed Broccoli,,Gedämpfter Broccoli
farmLifeSteamedBroccoliDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze den Kochtopf auf dem Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Steeped Barley,,item,Food,newKey,Steeped Barley,,Eingeweichte Gerste
farmLifeSteepedBarleyDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Steeping Tun on a Braustation. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm die Tränkewanne in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Steeped Rye,,item,Food,newKey,Steeped Rye,,Eingeweichter Roggen
farmLifeSteepedRyeDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Steeping Tun on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm die Tränkewanne in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Steeped Sorghum,,item,Food,newKey,Steeped Sorghum,,Eingeweichtes Sorghum
farmLifeSteepedSorghumDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Steeping Tun on a Brew Station. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm die Tränkewanne in der Braustation. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Still,,item,Food,newKey,Still,,Destilliierapparat
farmLifeStillDesc,,item,Food,newKey,"Type: [c7b992]Advanced Farming [FF684F](Tool and Die Set required to craft.)\nMaterial: [c7b992]Sand/Clay\nUnlocked by: [c7b992]Farm Forge\n\nThe Still is a tool used in the Brew Cooker for crafting.",,"Typ: [c7b992]Advanced Farming [FF684F](Tool and Die Set required to craft.)\nMaterial: [c7b992]Sand/Clay\nFreischalten durch: [c7b992]Bauernhofschmiede\n\nDer Destillierapparat ist ein Zubehör für den Brühkocher."
Stir Fry Vegetables,,item,Food,newKey,Stir Fry Vegetables,,Angebratenes Gemüse
farmLifeStirFryVegetablesDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Wok on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nDu brauchst den Wok und den Gasofen. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Strawberry,,item,Food,newKey,Strawberry,,Erdbeere
farmLifeStrawberryDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nEin leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Strawberry Ice Cream,,item,Food,newKey,Strawberry Ice Cream,,Erdbeereis
farmLifeStrawberryIceCreamDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nBenutze die Speiseeisschüssel für die Küchenmaschine. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Sugar Cane,,item,Food,newKey,Sugar Cane,,Zuckerrrohr
farmLifeSugarCaneDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nSugar Cane can be scrapped into Raw Sugar for cooking and crafting.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nZuckerrohr kann in Rohzucker zerlegt werden."
Sunrise Sampler,,item,Food,newKey,Sunrise Sampler,,Sonnenaufgangsfrühstück
farmLifeSunriseSamplerDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm das Hackbrett.\nEin leckeres Frühstück bestehend aus Eiern, Grütze, Bratäpfeln, Speck und vielem mehr!"
Sunrise Sampler Step 1,,item,Food,newKey,Sunrise Sampler Step 1,,Sonnenaufgangsfrühstück (Schritt 1)
farmLifeSunriseSamplerStep1Desc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse a Chopping Board. An ingredient used for crafting yummy meals or drinks.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nNimm das Hackbrett. Eine Zutat, die zur Herstellung leckerer Mahlzeiten oder Getränke verwendet wird."
Sushi Rice,,item,Food,newKey,Sushi Rice,,Sushi Reis
farmLifeSushiRiceDesc,,item,Food,newKey,"Type: [c7b992]Farm Life Item [FF684F]( required.)\nMaterial: [c7b992].\nUnlocked by: [c7b992]Farm Life\n\nUse the Mixing Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.",,"Typ: [c7b992]Farm Life Item [FF684F] (benötigt.)\nMaterial: [c7b992].\nFreischalten durch: [c7b992]Farm Life\n\nRührschüssel und Küchenmaschine. Ein leckeres Häppchen im Kampf gegen die Zombie-Apokalypse."
Sushi Rice Step 1,,item,Food,newKey,Sushi Rice Step 1,,Sushi Reis (Schritt 1)
